language,total_sentences,unique_normalized_strings,normalization_collision_count,normalization_collision_percent,avg_bpe_signatures_per_string,avg_fxt_signatures_per_string,strings_with_fxt_seed_variation,percent_strings_with_fxt_seed_variation,seed_repeats,error_count
en,2009,2009,0,0.0,1.0,4.5833748133399705,1999,99.50223992035838,5,0
es,2009,2008,1,0.0497760079641612,1.0,4.577689243027889,2000,99.601593625498,5,0
ru,2009,2009,0,0.0,1.0,4.716276754604281,2000,99.55201592832256,5,0
uk,2009,2009,0,0.0,1.0,4.720756595321055,2002,99.65156794425089,5,0
hi,2009,2009,0,0.0,1.0,4.4270781483325035,1994,99.2533598805376,5,0
te,2009,2009,0,0.0,1.0,4.770034843205575,2006,99.85067197610752,5,0
