language,sentences,unique_sentence_segmentations,unique_output_segments_vocabulary_size,total_output_segment_occurrences,mean_segments_per_sentence,deterministic_verification,dataset_fingerprints,input_fingerprint
en,2009,2009,9895,76373,38.01543056246889,one deterministic thresholding pass; no boundary sampling is performed,"{'dev': '987e4a103df19e2d', 'devtest': '944528861fc6c649'}",2802ecbb6294ad0633dadd7f4361b1e18a1468a81b624a2a112140a960a9e351
es,2009,2008,11741,75943,37.801393728223,one deterministic thresholding pass; no boundary sampling is performed,"{'dev': '987e4a103df19e2d', 'devtest': '944528861fc6c649'}",e9792edc2e38b2d348515ff6126028d8ab3aaef844832e8f6ca0f71afad6abb5
ru,2009,2009,12137,76948,38.30164260826282,one deterministic thresholding pass; no boundary sampling is performed,"{'dev': '987e4a103df19e2d', 'devtest': '944528861fc6c649'}",f99b3cd087261c340b4edf7d6e34c1361b2f7558767148bd8c7af70f25fc0eb5
uk,2009,2009,10980,77605,38.62867098058736,one deterministic thresholding pass; no boundary sampling is performed,"{'dev': '987e4a103df19e2d', 'devtest': '944528861fc6c649'}",ff26a718de5223271fe99f47910b07104e755cda040344a72183f754057e0ab0
hi,2009,2009,8146,75145,37.40418118466899,one deterministic thresholding pass; no boundary sampling is performed,"{'dev': '987e4a103df19e2d', 'devtest': '944528861fc6c649'}",882df2c2cec2d8f905168f116d6d989480f3ae4854c5bea6c43631e8d94c666a
te,2009,2009,10695,75913,37.78646092583375,one deterministic thresholding pass; no boundary sampling is performed,"{'dev': '987e4a103df19e2d', 'devtest': '944528861fc6c649'}",02d96626e68568a1df079cf08348515bacdab68bcc71280d6a953b445527103f
